ID,Action Date,Title,Vote,Meeting Body,File #,category,summary,scorer_field,affordable_housing_development_score,tenant_protections_score,homelessness_and_supportive_housing_score,faster_permitting_process_and_bureaucracy_score,land_use_and_zoning_reform_score
365,2024-07-16 00:00:00,"Resolution authorizing the General Manager of the San Francisco Public Utilities Commission to execute Amendment No. 3 to the New Headworks Facility Construction Management Staff Augmentation Services Agreement PRO.0028 with HDR Engineering Inc.; increasing the agreement by $4,680,626 for a total not to exceed amount of $31,680,626 and extending the duration by one year, for a total term of eight years and six months of June 15, 2017, through December 14, 2025, to reflect the re-scoping efforts and increased level of staffing needed to complete the construction of the Southeast Water Pollution",Aye,Board of Supervisors,240625.0,Non-Housing/NaN,"SF authorizes $4.68M increase to construction management agreement for Headworks Facility, extending term to Dec 2025.","""Non-Housing/NaN"", ""Aye"", ""Resolution authorizing the General Manager of the San Francisco Public Utilities Commission to execute Amendment No. 3 to the New Headworks Facility Construction Management Staff Augmentation Services Agreement PRO.0028 with HDR Engineering Inc.; increasing the agreement by $4,680,626 for a total not to exceed amount of $31,680,626 and extending the duration by one year, for a total term of eight years and six months of June 15, 2017, through December 14, 2025, to reflect the re-scoping efforts and increased level of staffing needed to complete the construction of the Southeast Water Pollution""",0.0,0.0,0.0,0.0,0.0
366,2024-07-16 00:00:00,"Resolution approving and authorizing the Director of Property to enter into a Fifth Amendment to the option agreement (“Option Agreement”) for the purchase of the Hoedown Yard located at the northeast corner of Illinois and 22nd Streets from the Pacific Gas and Electric Company for $63.37 per square foot or approximately $8,283,726; and authorizing the Director of Property to enter into any additions, amendments, or other modifications to the Lease that do not materially increase the obligations or liabilities of the City to effectuate the purposes of the Fifth Amendment or this Resolution.",Aye,Board of Supervisors,240648.0,Affordable Housing Development,SF approves 5th Amendment for Hoedown Yard purchase at $63.37/sq ft for $8.28M from PG&E. Allows lease modifications.,"""Affordable Housing Development"", ""Aye"", ""Resolution approving and authorizing the Director of Property to enter into a Fifth Amendment to the option agreement (“Option Agreement”) for the purchase of the Hoedown Yard located at the northeast corner of Illinois and 22nd Streets from the Pacific Gas and Electric Company for $63.37 per square foot or approximately $8,283,726; and authorizing the Director of Property to enter into any additions, amendments, or other modifications to the Lease that do not materially increase the obligations or liabilities of the City to effectuate the purposes of the Fifth Amendment or this Resolution.""",0.8,0.0,0.0,0.0,0.0
367,2024-07-16 00:00:00,"Resolution retroactively authorizing the Department of Public Health to accept and expend a grant increase in the amount of $18,016 from the Centers for Disease Control and Prevention through The Regents of the University of California, San Francisco for a total amount of $107,707 for participation in a program, entitled “Targeted HIV/TB Strategic Information Technical Assistance for President’s Emergency Plan for AIDS Relief (PEPFAR) and Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM) Countries,” for the period of September 30, 2023, through September 29, 2024.",Aye,Board of Supervisors,240678.0,Non-Housing/NaN,"SF authorizes $18,016 CDC grant increase for HIV/TB program. Total $107,707 for global relief efforts.","""Non-Housing/NaN"", ""Aye"", ""Resolution retroactively authorizing the Department of Public Health to accept and expend a grant increase in the amount of $18,016 from the Centers for Disease Control and Prevention through The Regents of the University of California, San Francisco for a total amount of $107,707 for participation in a program, entitled “Targeted HIV/TB Strategic Information Technical Assistance for President’s Emergency Plan for AIDS Relief (PEPFAR) and Global Fund to Fight AIDS, Tuberculosis and Malaria (GFATM) Countries,” for the period of September 30, 2023, through September 29, 2024.""",0.0,0.0,0.0,0.0,0.0
368,2024-07-16 00:00:00,"Resolution 1) approving and authorizing a Loan Purchase Agreement for the purchase of an existing loan in an amount of $63,191,071 for a purchase price not to exceed $48,000,000 from the San Francisco Housing Accelerator Fund (“SFHAF Loan”) related to the rehabilitation of a 214-unit single-room occupancy residential building for permanent supportive housing to homeless households, with two managers units, located at 1000 Sutter Street (the “Project”); 2) authorizing the assumption of obligations under the SFHAF Loan to disburse an amount not to exceed $17,000,000 for rehabilitation of the Pro",Aye,Board of Supervisors,240730.0,Homelessness and Supportive Housing,SF approves $63.2M loan for 214-unit housing rehab at 1000 Sutter St.,"""Homelessness and Supportive Housing"", ""Aye"", ""Resolution 1) approving and authorizing a Loan Purchase Agreement for the purchase of an existing loan in an amount of $63,191,071 for a purchase price not to exceed $48,000,000 from the San Francisco Housing Accelerator Fund (“SFHAF Loan”) related to the rehabilitation of a 214-unit single-room occupancy residential building for permanent supportive housing to homeless households, with two managers units, located at 1000 Sutter Street (the “Project”); 2) authorizing the assumption of obligations under the SFHAF Loan to disburse an amount not to exceed $17,000,000 for rehabilitation of the Pro""",0.0,0.0,0.8,0.0,0.0
369,2024-07-16 00:00:00,"Ordinance conditionally accepting a grant deed for property associated with Mission Bay South Park P22; delegating for a three-year period to the San Francisco Port Commission the authority to dedicate Mission Bay South Parks P22 and P19 (bordering Terry François Boulevard) to public use, accept an irrevocable offer for the acquisition facilities that comprise the park improvements, designate said facilities for public park and open space purposes only, and accept these Parks for Port of San Francisco maintenance and liability purposes, subject to specified limitations; delegating for a three-",Aye,Board of Supervisors,240635.0,Land Use and Zoning Reforms,"SF accepts Mission Bay South Park P22 deed, designates for public use, maintenance by Port of SF.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance conditionally accepting a grant deed for property associated with Mission Bay South Park P22; delegating for a three-year period to the San Francisco Port Commission the authority to dedicate Mission Bay South Parks P22 and P19 (bordering Terry François Boulevard) to public use, accept an irrevocable offer for the acquisition facilities that comprise the park improvements, designate said facilities for public park and open space purposes only, and accept these Parks for Port of San Francisco maintenance and liability purposes, subject to specified limitations; delegating for a three-""",0.0,0.0,0.0,0.0,0.8
370,2024-07-16 00:00:00,"Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to establish the Commission Streamlining Task Force charged with making recommendations to the Mayor and the Board of Supervisors about ways to modify, eliminate, or combine the City’s appointive boards and commissions to improve the administration of City government; require the City Attorney to prepare a Charter Amendment to implement the Task Force’s recommendations relating to Charter commissions, for consideration by the Board of Supervisors; and authorize the Task Force to introduce an ordinance",Aye,Board of Supervisors,240547.0,Land Use and Zoning Reforms,"SF Charter Amendment to streamline city commissions, improve government efficiency, and propose changes to Charter commissions.","""Land Use and Zoning Reforms"", ""Aye"", ""Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to establish the Commission Streamlining Task Force charged with making recommendations to the Mayor and the Board of Supervisors about ways to modify, eliminate, or combine the City’s appointive boards and commissions to improve the administration of City government; require the City Attorney to prepare a Charter Amendment to implement the Task Force’s recommendations relating to Charter commissions, for consideration by the Board of Supervisors; and authorize the Task Force to introduce an ordinance""",0.0,0.0,0.0,0.0,0.5
371,2024-07-16 00:00:00,"Resolution imposing interim zoning controls for an 18-month period for parcels in the Upper Market Street Neighborhood Commercial Transit District (NCT) and the Castro Street Neighborhood Commercial District (NCD), by requiring Conditional Use Authorization for a change of use from a Health Services Use or a Social Services Use; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the eight priority policies of Planning Code, Section 101.1.",Aye,Board of Supervisors,240683.0,Land Use and Zoning Reforms,"Interim zoning controls for Upper Market St. and Castro St. NCDs, requiring Conditional Use Authorization for certain use changes.","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution imposing interim zoning controls for an 18-month period for parcels in the Upper Market Street Neighborhood Commercial Transit District (NCT) and the Castro Street Neighborhood Commercial District (NCD), by requiring Conditional Use Authorization for a change of use from a Health Services Use or a Social Services Use; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the eight priority policies of Planning Code, Section 101.1.""",0.0,0.0,0.0,0.0,0.5
372,2024-07-16 00:00:00,"Ordinance amending the Health Code to require each retail pharmacy in San Francisco that stocks controlled substance prescription drugs to stock sufficient buprenorphine to provide for at least two new prescriptions, provide for an affirmative defense for retail pharmacies that ordered replacement prescriptions, and establish penalties for violating the requirement to stock sufficient buprenorphine.",Aye,Board of Supervisors,240502.0,Tenant Protections,"SF requires pharmacies to stock buprenorphine for 2 new prescriptions, with penalties for non-compliance.","""Tenant Protections"", ""Aye"", ""Ordinance amending the Health Code to require each retail pharmacy in San Francisco that stocks controlled substance prescription drugs to stock sufficient buprenorphine to provide for at least two new prescriptions, provide for an affirmative defense for retail pharmacies that ordered replacement prescriptions, and establish penalties for violating the requirement to stock sufficient buprenorphine.""",0.0,0.4,0.0,0.0,0.0
373,2024-07-16 00:00:00,"Resolution determining that the issuance of a Type-90 on-sale general music venue liquor license to Faight Collective SF LLC, to do business as The Faight located at 475 Haight Street (District 5), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license.",Aye,Board of Supervisors,240591.0,Land Use and Zoning Reforms,"SF approves Type-90 liquor license for The Faight at 475 Haight St, District 5, meeting public needs with imposed conditions.","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution determining that the issuance of a Type-90 on-sale general music venue liquor license to Faight Collective SF LLC, to do business as The Faight located at 475 Haight Street (District 5), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license.""",0.0,0.0,0.0,0.0,0.4
374,2024-07-16 00:00:00,"Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to 1) create an Our Children, Our Families Initiative (“Initiative”) to coordinate efforts by City departments and the San Francisco Unified School District (“School District”) to deliver outcomes-based services for children, youth, and families; 2) require the Initiative to use an objective and measurable outcomes framework (“Outcomes Framework”) to evaluate the budget and spending of each City department with expenditures that are eligible to be included in the Children and Youth Fund baseline, the",Aye,Board of Supervisors,240545.0,Non-Housing,"SF Charter Amendment for Our Children, Our Families Initiative to coordinate services for youth, families with measurable outcomes framework.","""Non-Housing"", ""Aye"", ""Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to 1) create an Our Children, Our Families Initiative (“Initiative”) to coordinate efforts by City departments and the San Francisco Unified School District (“School District”) to deliver outcomes-based services for children, youth, and families; 2) require the Initiative to use an objective and measurable outcomes framework (“Outcomes Framework”) to evaluate the budget and spending of each City department with expenditures that are eligible to be included in the Children and Youth Fund baseline, the""",0.0,0.0,0.0,0.0,0.0
375,2024-07-16 00:00:00,"Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to establish the position of Inspector General in the Controller’s Office; to provide that the Inspector General be nominated by the Controller subject to approval by the Board of Supervisors and the Mayor; to authorize the Inspector General to initiate and lead investigations regarding potential violations of laws or policies involving fraud, waste, or abuse; to expand the authority of the Controller’s Office to issue subpoenas; and to authorize the Controller’s Office to execute search warrants to t",Aye,Board of Supervisors,240549.0,Tenant Protections,"SF Charter Amendment: Inspector General position in Controller's Office for investigations on fraud, waste, abuse, with expanded subpoena authority.","""Tenant Protections"", ""Aye"", ""Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to establish the position of Inspector General in the Controller’s Office; to provide that the Inspector General be nominated by the Controller subject to approval by the Board of Supervisors and the Mayor; to authorize the Inspector General to initiate and lead investigations regarding potential violations of laws or policies involving fraud, waste, or abuse; to expand the authority of the Controller’s Office to issue subpoenas; and to authorize the Controller’s Office to execute search warrants to t""",0.0,0.8,0.0,0.0,0.0
376,2024-07-16 00:00:00,"Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to establish the Affordable Housing Opportunity Fund for Seniors, Families, and People with Disabilities to fund project-based rental subsidies for extremely low-income households consisting of seniors, families, and persons with disabilities, and to require the City to appropriate at least $8.25 million to the Fund annually starting in Fiscal Year 2026-2027; at an election to be held on November 5, 2024.",Aye,Board of Supervisors,240550.0,Affordable Housing Development,"SF Charter Amendment for Affordable Housing Opportunity Fund for seniors, families, and disabled, requiring $8.25M annually from 2026-2027.","""Affordable Housing Development"", ""Aye"", ""Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to establish the Affordable Housing Opportunity Fund for Seniors, Families, and People with Disabilities to fund project-based rental subsidies for extremely low-income households consisting of seniors, families, and persons with disabilities, and to require the City to appropriate at least $8.25 million to the Fund annually starting in Fiscal Year 2026-2027; at an election to be held on November 5, 2024.""",0.8,0.0,0.0,0.0,0.0
377,2024-07-16 00:00:00,"Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to allow registered nurses, who are or become members of the San Francisco Employees’ Retirement System and have worked an average of 32 hours or more per week for at least one year, to purchase up to three years of service credit for time previously worked as per diem nurses; and to move public safety communications personnel (911 dispatchers, supervisors, and coordinators) from the miscellaneous retirement plans to the miscellaneous safety retirement plan, for compensation earned on and after Januar",Aye,Board of Supervisors,240551.0,Tenant Protections,"SF Charter Amendment allows nurses to buy service credit, moves 911 personnel to safety retirement plan.","""Tenant Protections"", ""Aye"", ""Charter Amendment (Second Draft) to amend the Charter of the City and County of San Francisco to allow registered nurses, who are or become members of the San Francisco Employees’ Retirement System and have worked an average of 32 hours or more per week for at least one year, to purchase up to three years of service credit for time previously worked as per diem nurses; and to move public safety communications personnel (911 dispatchers, supervisors, and coordinators) from the miscellaneous retirement plans to the miscellaneous safety retirement plan, for compensation earned on and after Januar""",0.0,"- Reduction in Evictions: This policy does not directly address reduction in evictions.
- Stabilization of Rent: This policy does not directly address rent stabilization.
- Enhanced Legal Protections: This policy does not directly enhance legal protections for tenants.

Given the information provided, the policy does not have a significant impact on Tenant Protections. Therefore, the score for ""Tenant Protections"" would be ""0.0"".",0.0,0.0,0.0
378,2024-07-16 00:00:00,"Ordinance calling and providing for a special election to be held in the City and County of San Francisco on Tuesday, November 5, 2024, for the purpose of submitting to San Francisco voters a proposition to incur bonded indebtedness of not to exceed $390,000,000 to finance the acquisition or improvement of real property, including: facilities to deliver primary healthcare services, emergency medical services, skilled nursing services, and services for persons experiencing mental health challenges or persons with substance use disorders; acquire, improve, and seismically upgrade critical medica",Aye,Board of Supervisors,240497.0,Affordable Housing Development,"SF special election on Nov 5, 2024, for $390M bond to improve healthcare facilities and services for mental health and substance use disorders.","""Affordable Housing Development"", ""Aye"", ""Ordinance calling and providing for a special election to be held in the City and County of San Francisco on Tuesday, November 5, 2024, for the purpose of submitting to San Francisco voters a proposition to incur bonded indebtedness of not to exceed $390,000,000 to finance the acquisition or improvement of real property, including: facilities to deliver primary healthcare services, emergency medical services, skilled nursing services, and services for persons experiencing mental health challenges or persons with substance use disorders; acquire, improve, and seismically upgrade critical medica""",0.8,0.0,0.0,0.0,0.0
379,2024-07-16 00:00:00,"Ordinance calling and providing for a special election to be held in the City and County of San Francisco on Tuesday, November 5, 2024, for the purpose of submitting to San Francisco voters a proposition to incur bonded indebtedness of not to exceed $390,000,000 to finance the acquisition or improvement of real property, including: facilities to deliver primary healthcare services, emergency medical services, skilled nursing services, and services for persons experiencing mental health challenges or persons with substance use disorders; acquire, improve, and seismically upgrade critical medica",Aye,Board of Supervisors,240497.0,Affordable Housing Development,"SF special election on Nov 5, 2024, for $390M bond to improve healthcare facilities and services for mental health and substance use disorders.","""Affordable Housing Development"", ""Aye"", ""Ordinance calling and providing for a special election to be held in the City and County of San Francisco on Tuesday, November 5, 2024, for the purpose of submitting to San Francisco voters a proposition to incur bonded indebtedness of not to exceed $390,000,000 to finance the acquisition or improvement of real property, including: facilities to deliver primary healthcare services, emergency medical services, skilled nursing services, and services for persons experiencing mental health challenges or persons with substance use disorders; acquire, improve, and seismically upgrade critical medica""",0.8,0.0,0.0,0.0,0.0
380,2024-07-16 00:00:00,"Resolution determining and declaring that the public interest and necessity demand the acquisition or improvement of real property, including: facilities to deliver primary healthcare services, emergency medical services, skilled nursing services, services for persons experiencing mental health challenges, and persons experiencing substance use disorders; acquire, improve, and seismically upgrade critical medical care and mental health facilities; emergency shelter facilities; and improvements for certain transportation, pedestrian, and street safety related capital improvements, streetscape e",Aye,Board of Supervisors,240498.0,Homelessness and Supportive Housing,"SF resolution for healthcare, mental health, substance use services, shelter, and transportation improvements.","""Homelessness and Supportive Housing"", ""Aye"", ""Resolution determining and declaring that the public interest and necessity demand the acquisition or improvement of real property, including: facilities to deliver primary healthcare services, emergency medical services, skilled nursing services, services for persons experiencing mental health challenges, and persons experiencing substance use disorders; acquire, improve, and seismically upgrade critical medical care and mental health facilities; emergency shelter facilities; and improvements for certain transportation, pedestrian, and street safety related capital improvements, streetscape e""",0.0,0.0,0.8,0.0,0.0
381,2024-07-16 00:00:00,"Ordinance reallocating approximately $13,676,000 in unappropriated earned interest revenues from the Our City, Our Home Fund to allow the City to use such revenues from the Homelessness Gross Receipts Tax for certain types of services to address homelessness; temporarily suspending the limit on funding for short-term rental subsidies; directing the City to provide additional notice regarding eligibility for short-term rental subsidies; and finding that these changes are necessary to achieve the purposes of the Our City, Our Home Fund pursuant to Business and Tax Regulations Code, Section 2811.",Aye,Board of Supervisors,240607.0,Homelessness and Supportive Housing,"SF reallocates $13.7M to tackle homelessness, suspends short-term rental subsidy limit, enhances eligibility notice.","""Homelessness and Supportive Housing"", ""Aye"", ""Ordinance reallocating approximately $13,676,000 in unappropriated earned interest revenues from the Our City, Our Home Fund to allow the City to use such revenues from the Homelessness Gross Receipts Tax for certain types of services to address homelessness; temporarily suspending the limit on funding for short-term rental subsidies; directing the City to provide additional notice regarding eligibility for short-term rental subsidies; and finding that these changes are necessary to achieve the purposes of the Our City, Our Home Fund pursuant to Business and Tax Regulations Code, Section 2811.""",0.0,0.0,0.8,0.0,0.0
382,2024-07-15 00:00:00,"Resolution granting revocable permission to RP Pennsylvania, LLC to occupy and maintain a portion of 22nd Street, between Missouri and Texas Streets, fronting 1395 22nd Street and 790 Pennsylvania Avenue (Assessor’s Parcel Block No. 4167, Lot No. 013), with a public stair and scenic overlook; adopting environmental findings under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and to authorize the Director or Public Works to enter into amendments or modifications to the Permit with",Aye,Land Use and Transportation Committee,240386.0,Land Use and Zoning Reforms,"""SF grants RP Pennsylvania, LLC permission for public stair and scenic overlook on 22nd Street.""","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution granting revocable permission to RP Pennsylvania, LLC to occupy and maintain a portion of 22nd Street, between Missouri and Texas Streets, fronting 1395 22nd Street and 790 Pennsylvania Avenue (Assessor’s Parcel Block No. 4167, Lot No. 013), with a public stair and scenic overlook; adopting environmental findings under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and to authorize the Director or Public Works to enter into amendments or modifications to the Permit with""",0.0,0.0,0.0,0.0,0.4
383,2024-07-15 00:00:00,"Resolution imposing interim zoning controls for an 18-month period for parcels in the Upper Market Street Neighborhood Commercial Transit District (NCT) and the Castro Street Neighborhood Commercial District (NCD), by requiring Conditional Use Authorization for a change of use from a Health Services Use or a Social Services Use; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the eight priority policies of Planning Code, Section 101.1.",Aye,Land Use and Transportation Committee,240683.0,Land Use and Zoning Reforms,"Interim zoning controls for Upper Market St. and Castro St. NCDs, requiring Conditional Use Authorization for certain use changes.","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution imposing interim zoning controls for an 18-month period for parcels in the Upper Market Street Neighborhood Commercial Transit District (NCT) and the Castro Street Neighborhood Commercial District (NCD), by requiring Conditional Use Authorization for a change of use from a Health Services Use or a Social Services Use; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the eight priority policies of Planning Code, Section 101.1.""",0.0,0.0,0.0,0.0,0.5
384,2024-07-15 00:00:00,"Ordinance amending the Planning Code and the Zoning Map to establish the Stonestown Mixed-Use District (SMD), Stonestown Special Use District (SUD), Stonestown Mixed-Use Height and Bulk District (HBD), and Stonestown Special Sign District (SSD), all generally bounded by Eucalyptus Drive and Buckingham Way to the north, 19th Avenue to the east, Buckingham Way to the south, and Buckingham Way to the west, with the SSD including the Stonestown Galleria Mall and the SMD, SUD, and HBD excluding the mall; abolishing an approximately 15-foot legislated setback on the west side of 19th Avenue between",Aye,Land Use and Transportation Committee,240409.0,Land Use and Zoning Reforms,"SF creates Stonestown Mixed-Use District, Special Use District, Height/Bulk District, and Sign District near Stonestown Galleria Mall.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Planning Code and the Zoning Map to establish the Stonestown Mixed-Use District (SMD), Stonestown Special Use District (SUD), Stonestown Mixed-Use Height and Bulk District (HBD), and Stonestown Special Sign District (SSD), all generally bounded by Eucalyptus Drive and Buckingham Way to the north, 19th Avenue to the east, Buckingham Way to the south, and Buckingham Way to the west, with the SSD including the Stonestown Galleria Mall and the SMD, SUD, and HBD excluding the mall; abolishing an approximately 15-foot legislated setback on the west side of 19th Avenue between""",0.0,0.0,0.0,0.0,0.8
385,2024-07-15 00:00:00,"Ordinance amending the General Plan to revise the Urban Design Element, the Commerce and Industry Element, and the Land Use Index to reflect the Stonestown Development Project; adopting findings under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and adopting findings of public necessity, convenience, and welfare under Planning Code, Section 340.",Aye,Land Use and Transportation Committee,240575.0,Land Use and Zoning Reforms,"SF ordinance updates General Plan for Stonestown Development Project, aligns with CEQA, Planning Code, and public welfare.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the General Plan to revise the Urban Design Element, the Commerce and Industry Element, and the Land Use Index to reflect the Stonestown Development Project; adopting findings under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and adopting findings of public necessity, convenience, and welfare under Planning Code, Section 340.""",0.0,0.0,0.0,0.0,0.8
386,2024-07-09 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Jean Agustin against the City and County of San Francisco for $75,000; the lawsuit was filed on February 1, 2023, in San Francisco Superior Court, Case No. CGC-23-604409; entitled Jean Agustin v. City and County of San Francisco; the lawsuit involves alleged personal injury occurring on a City sidewalk.",Aye,Board of Supervisors,240468.0,Non-Housing,"SF settles lawsuit with Jean Agustin for $75,000 over personal injury on city sidewalk (Case No. CGC-23-604409).","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Jean Agustin against the City and County of San Francisco for $75,000; the lawsuit was filed on February 1, 2023, in San Francisco Superior Court, Case No. CGC-23-604409; entitled Jean Agustin v. City and County of San Francisco; the lawsuit involves alleged personal injury occurring on a City sidewalk.""",0.0,0.0,0.0,0.0,0.0
387,2024-07-09 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Rahul Seth, M.D. against the City and County of San Francisco for a payment to the City of $170,000; the lawsuit was filed on April 19, 2022, in San Francisco Superior Court, Case No. CGC-22-599250; entitled Rahul Seth, M.D. v. City and County of San Francisco, et al.; the lawsuit involves alleged personal injury on a City street.",Aye,Board of Supervisors,240571.0,Non-Housing,"SF settles lawsuit with Dr. Rahul Seth for $170,000 over personal injury claim on city street.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Rahul Seth, M.D. against the City and County of San Francisco for a payment to the City of $170,000; the lawsuit was filed on April 19, 2022, in San Francisco Superior Court, Case No. CGC-22-599250; entitled Rahul Seth, M.D. v. City and County of San Francisco, et al.; the lawsuit involves alleged personal injury on a City street.""",0.0,0.0,0.0,0.0,0.0
388,2024-07-09 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Vincent Keith Bell against the City and County of San Francisco for $500,000; the lawsuit was filed on December 16, 2013, in United States District Court-Northern District of California, Case No. 13-cv-05820; entitled Vincent Keith Bell v. Ken Lee, et al.; the lawsuit involves alleged civil rights violation.",Aye,Board of Supervisors,240572.0,Non-Housing,"SF settles civil rights lawsuit for $500,000 with Vincent Keith Bell. Case filed in 2013.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Vincent Keith Bell against the City and County of San Francisco for $500,000; the lawsuit was filed on December 16, 2013, in United States District Court-Northern District of California, Case No. 13-cv-05820; entitled Vincent Keith Bell v. Ken Lee, et al.; the lawsuit involves alleged civil rights violation.""",0.0,0.0,0.0,0.0,0.0
389,2024-07-09 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Denise Wear against the City and County of San Francisco for $45,000; the lawsuit was filed on January 20, 2022, in San Francisco Superior Court, Case No. CGC-22-597744; entitled Denise Wear v. City and County of San Francisco, et al.; the lawsuit involves alleged personal injury on a City sidewalk.",Aye,Board of Supervisors,240573.0,Non-Housing,"SF settles lawsuit with Denise Wear for $45,000 over personal injury on City sidewalk.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Denise Wear against the City and County of San Francisco for $45,000; the lawsuit was filed on January 20, 2022, in San Francisco Superior Court, Case No. CGC-22-597744; entitled Denise Wear v. City and County of San Francisco, et al.; the lawsuit involves alleged personal injury on a City sidewalk.""",0.0,0.0,0.0,0.0,0.0
390,2024-07-09 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Wendy Offen and Stephen Offen against the City and County of San Francisco for $140,000; the lawsuit was filed on December 13, 2021, in San Francisco Superior Court, Case No. CGC-21-597078; entitled Wendy Offen and Stephen Offen v. City and County of San Francisco; the lawsuit involves an alleged injury on a City sidewalk.",Aye,Board of Supervisors,240574.0,Non-Housing,"SF settles lawsuit for $140,000 with Offen couple for sidewalk injury claim.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Wendy Offen and Stephen Offen against the City and County of San Francisco for $140,000; the lawsuit was filed on December 13, 2021, in San Francisco Superior Court, Case No. CGC-21-597078; entitled Wendy Offen and Stephen Offen v. City and County of San Francisco; the lawsuit involves an alleged injury on a City sidewalk.""",0.0,0.0,0.0,0.0,0.0
391,2024-07-09 00:00:00,Ordinance amending the Business and Tax Regulations Code to increase the daily transient occupancy tax exemption amount from less than $52 to less than $60; to increase the weekly transient occupancy tax exemption amount from less than $130 to less than $149; and to require review in the September 2027 - September 2029 time frame by the Controller of the exemption amounts for the purpose of considering adjustments in the amounts.,Aye,Board of Supervisors,240639.0,Non-Housing,"SF increases transient occupancy tax exemptions, requires review by Controller for adjustments in 2027-2029.","""Non-Housing"", ""Aye"", ""Ordinance amending the Business and Tax Regulations Code to increase the daily transient occupancy tax exemption amount from less than $52 to less than $60; to increase the weekly transient occupancy tax exemption amount from less than $130 to less than $149; and to require review in the September 2027 - September 2029 time frame by the Controller of the exemption amounts for the purpose of considering adjustments in the amounts.""",0.0,0.0,0.0,0.0,0.0
392,2024-07-09 00:00:00,"Ordinance amending the Building and Planning Codes to make permanent the streamlined permitting provisions for unpermitted awnings and extend the waiver of applicable fees for one fiscal year, until July 1, 2025; affirming the Planning Department’s determination under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and making findings of public necessity, convenience, and welfare pursuant to Planning Code, Section 302.",Aye,Board of Supervisors,240474.0,Permitting Process and Bureaucratic Efficiency,"SF ordinance extends fee waiver for unpermitted awnings, streamlines permitting until 2025, with CEQA approval and policy consistency.","""Permitting Process and Bureaucratic Efficiency"", ""Aye"", ""Ordinance amending the Building and Planning Codes to make permanent the streamlined permitting provisions for unpermitted awnings and extend the waiver of applicable fees for one fiscal year, until July 1, 2025; affirming the Planning Department’s determination under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and making findings of public necessity, convenience, and welfare pursuant to Planning Code, Section 302.""",0.0,0.0,0.0,0.5,0.0
